date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
04/03/2009,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=march.2009#detail=11599,-697K,-620K,-614K,Wed,Africa/Lagos
04/03/2009,15:00,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=10767,41.6,41.2,42.9,Wed,Africa/Lagos
04/03/2009,15:00,USD,yellow,Treasury Sec Geithner Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17472,,,,Wed,Africa/Lagos
04/03/2009,15:30,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=march.2009#detail=14628,-0.7M,1.0M,0.7M,Wed,Africa/Lagos
04/03/2009,17:00,USD,orange,FOMC Member Lockhart Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17411,,,,Wed,Africa/Lagos
04/03/2009,19:00,USD,orange,Beige Book,https://www.forexfactory.com/calendar?month=march.2009#detail=10992,,,,Wed,Africa/Lagos
04/03/2009,23:50,JPY,orange,Capital Spending q/y,https://www.forexfactory.com/calendar?month=march.2009#detail=13786,-17.3%,-15.6%,-13.0%,Wed,Africa/Lagos
05/03/2009,00:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=12824,-3.7%,1.4%,-1.9%,Thu,Africa/Lagos
05/03/2009,00:30,AUD,red,Goods Trade Balance,https://www.forexfactory.com/calendar?month=march.2009#detail=12823,0.97B,1.10B,0.42B,Thu,Africa/Lagos
05/03/2009,03:45,JPY,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=march.2009#detail=49067,1.94|2.5,,1.88|3.3,Thu,Africa/Lagos
05/03/2009,07:00,EUR,orange,German Retail Sales m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11791,-0.6%,0.3%,0.5%,Thu,Africa/Lagos
05/03/2009,08:00,CHF,yellow,Foreign Currency Reserves,https://www.forexfactory.com/calendar?month=march.2009#detail=42165,47B,,47B,Thu,Africa/Lagos
05/03/2009,09:00,GBP,red,Halifax HPI m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=12251,-2.3%,-2.3%,2.0%,Thu,Africa/Lagos
05/03/2009,10:00,EUR,yellow,Revised GDP q/q,https://www.forexfactory.com/calendar?month=march.2009#detail=12552,-1.5%,-1.5%,-1.5%,Thu,Africa/Lagos
05/03/2009,10:06,EUR,yellow,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=march.2009#detail=43348,3.72|1.7,,3.85|2.6,Thu,Africa/Lagos
05/03/2009,12:00,GBP,red,Asset Purchase Facility,https://www.forexfactory.com/calendar?month=march.2009#detail=24502,75B,,,Thu,Africa/Lagos
05/03/2009,12:00,GBP,red,MPC Rate Statement,https://www.forexfactory.com/calendar?month=march.2009#detail=11627,,,,Thu,Africa/Lagos
05/03/2009,12:00,GBP,red,Official Bank Rate,https://www.forexfactory.com/calendar?month=march.2009#detail=11628,0.50%,0.50%,1.00%,Thu,Africa/Lagos
05/03/2009,12:45,EUR,red,Main Refinancing Rate,https://www.forexfactory.com/calendar?month=march.2009#detail=10631,1.50%,1.50%,2.00%,Thu,Africa/Lagos
05/03/2009,13:30,CAD,red,Building Permits m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=13496,-4.6%,-5.0%,-3.6%,Thu,Africa/Lagos
05/03/2009,13:30,EUR,red,ECB Press Conference,https://www.forexfactory.com/calendar?month=march.2009#detail=10632,,,,Thu,Africa/Lagos
05/03/2009,13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=march.2009#detail=14687,639K,647K,670K,Thu,Africa/Lagos
