date,time,currency,impact,event,detail,actual,forecast,previous,day
08/02/2017,21:45,NZD,yellow,Building Consents m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=65704,-7.2%,,-9.6%,Wed
08/02/2017,23:50,JPY,yellow,Core Machinery Orders m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=69146,6.7%,3.2%,-5.1%,Wed
08/02/2017,,JPY,yellow,M2 Money Stock y/y,https://www.forexfactory.com/calendar?month=february.2017#detail=68976,4.1%,4.0%,4.0%,Wed
09/02/2017,00:00,AUD,yellow,HIA New Home Sales m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=68301,0.2%,,6.1%,Thu
09/02/2017,00:01,GBP,yellow,RICS House Price Balance,https://www.forexfactory.com/calendar?month=february.2017#detail=65946,25%,23%,23%,Thu
09/02/2017,00:10,NZD,red,RBNZ Gov Wheeler Speaks,https://www.forexfactory.com/calendar?month=february.2017#detail=70539,,,,Thu
09/02/2017,00:30,AUD,orange,NAB Quarterly Business Confidence,https://www.forexfactory.com/calendar?month=february.2017#detail=68413,5,,6,Thu
09/02/2017,03:45,JPY,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=february.2017#detail=69400,0.91|3.2,,0.75|3.3,Thu
09/02/2017,06:00,JPY,yellow,Prelim Machine Tool Orders y/y,https://www.forexfactory.com/calendar?month=february.2017#detail=69264,3.5%,,4.4%,Thu
09/02/2017,06:45,CHF,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=february.2017#detail=67628,3.3%,3.3%,3.3%,Thu
09/02/2017,07:00,EUR,yellow,German Trade Balance,https://www.forexfactory.com/calendar?month=february.2017#detail=66151,18.4B,23.2B,21.8B,Thu
09/02/2017,09:00,AUD,red,RBA Gov Lowe Speaks,https://www.forexfactory.com/calendar?month=february.2017#detail=70542,,,,Thu
09/02/2017,10:34,GBP,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=february.2017#detail=64608,1.86|1.6,,1.96|1.7,Thu
09/02/2017,13:30,CAD,orange,NHPI m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=69791,0.1%,0.3%,0.2%,Thu
09/02/2017,,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=february.2017#detail=64231,234K,249K,246K,Thu
09/02/2017,15:00,USD,yellow,Final Wholesale Inventories m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=66804,1.0%,1.0%,1.0%,Thu
09/02/2017,15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=february.2017#detail=64227,-152B,-155B,-87B,Thu
09/02/2017,16:35,CAD,orange,Gov Council Member Schembri Speaks,https://www.forexfactory.com/calendar?month=february.2017#detail=70554,,,,Thu
