date,time,currency,impact,actual,forecast,previous,day,event,detail
11/09/2015,,EUR,yellow,1.1%,0.9%,-1.0%,Fri,,
11/09/2015,09:30,GBP,yellow,-1.0%,0.5%,0.9%,Fri,,
11/09/2015,,GBP,yellow,2.0%,,2.2%,Fri,,
11/09/2015,Day 1,EUR,orange,,,,Fri,,
11/09/2015,12:30,GBP,orange,,,,Fri,,
11/09/2015,13:30,USD,red,0.0%,-0.1%,0.2%,Fri,,
11/09/2015,,USD,orange,0.3%,0.1%,0.3%,Fri,,
11/09/2015,15:00,USD,red,85.7,91.4,91.9,Fri,,
11/09/2015,,USD,yellow,2.9%,,2.8%,Fri,,
11/09/2015,18:55,USD,yellow,-64.4B,-82.3B,-149.2B,Fri,,
12/09/2015,Day 2,EUR,orange,,,,Sat,,
12/09/2015,All Day,EUR,orange,,,,Sat,,
13/09/2015,06:30,CNY,red,6.1%,6.3%,6.0%,Sun,,
13/09/2015,,CNY,orange,10.9%,11.2%,11.2%,Sun,,
13/09/2015,,CNY,yellow,10.8%,10.6%,10.5%,Sun,,
13/09/2015,23:30,NZD,yellow,58.2,,57.3,Sun,,
14/09/2015,05:30,JPY,yellow,-0.8%,-0.6%,-0.6%,Mon,,
14/09/2015,,JPY,yellow,0.2%,0.2%,0.3%,Mon,,
14/09/2015,08:15,CHF,orange,-0.7%,-0.4%,-0.3%,Mon,,
14/09/2015,,CHF,orange,-0.1%,1.5%,-1.2%,Mon,,
14/09/2015,10:00,EUR,yellow,0.6%,0.3%,-0.3%,Mon,,
15/09/2015,02:30,AUD,red,,,,Tue,,
15/09/2015,,AUD,yellow,-1.6%,,-1.6%,Tue,,
15/09/2015,04:07,JPY,red,,,,Tue,,
15/09/2015,07:30,JPY,red,,,,Tue,,
15/09/2015,07:45,EUR,yellow,0.3%,0.4%,-0.4%,Tue,,
15/09/2015,09:30,GBP,red,0.0%,0.0%,0.1%,Tue,,
15/09/2015,,GBP,orange,-2.4%,-2.3%,-1.2%,Tue,,
15/09/2015,,GBP,orange,1.1%,0.9%,1.0%,Tue,,
15/09/2015,,GBP,yellow,1.0%,1.0%,1.2%,Tue,,
15/09/2015,,GBP,yellow,5.2%,6.2%,5.7%,Tue,,
15/09/2015,,GBP,yellow,-0.4%,-0.2%,-0.1%,Tue,,
15/09/2015,10:00,EUR,red,12.1,18.3,25.0,Tue,,
15/09/2015,,EUR,orange,33.3,42.1,47.6,Tue,,
15/09/2015,,EUR,yellow,0.3%,0.1%,0.2%,Tue,,
15/09/2015,,EUR,yellow,22.4B,21.4B,21.9B,Tue,,
15/09/2015,13:30,USD,red,0.1%,0.2%,0.6%,Tue,,
15/09/2015,,USD,red,0.2%,0.3%,0.7%,Tue,,
15/09/2015,,USD,orange,-14.7,-0.5,-14.9,Tue,,
15/09/2015,14:15,USD,orange,77.6%,77.9%,78.0%,Tue,,
15/09/2015,,USD,orange,-0.4%,-0.1%,0.9%,Tue,,
15/09/2015,14:30,GBP,yellow,-0.3%,,-0.3%,Tue,,
15/09/2015,15:00,USD,yellow,0.1%,-0.2%,0.7%,Tue,,
15/09/2015,16:15,NZD,red,16.5%,,10.9%,Tue,,
15/09/2015,23:45,NZD,orange,-1.22B,-1.40B,0.82B,Tue,,
16/09/2015,00:30,AUD,orange,,,,Wed,,
16/09/2015,01:30,AUD,yellow,-0.3%,,0.1%,Wed,,
16/09/2015,06:00,JPY,yellow,,,,Wed,,
16/09/2015,09:30,GBP,red,2.9%,2.5%,2.6%,Wed,,
16/09/2015,,GBP,red,1.2K,-5.1K,-6.8K,Wed,,
16/09/2015,,GBP,orange,5.5%,5.6%,5.6%,Wed,,
16/09/2015,10:00,CHF,yellow,9.7,,5.9,Wed,,
16/09/2015,,EUR,orange,0.1%,0.2%,0.2%,Wed,,
16/09/2015,,EUR,yellow,0.9%,1.0%,1.0%,Wed,,
16/09/2015,10:33,EUR,yellow,1.49|1.0,,1.18|1.1,Wed,,
16/09/2015,10:35,GBP,yellow,1.95|1.4,,1.98|1.4,Wed,,
16/09/2015,13:30,CAD,red,1.7%,1.1%,1.5%,Wed,,
16/09/2015,,CAD,orange,-10.12B,5.50B,8.79B,Wed,,
16/09/2015,,USD,red,0.1%,0.1%,0.1%,Wed,,
16/09/2015,,USD,red,-0.1%,0.0%,0.1%,Wed,,
16/09/2015,,USD,red,0.2%,0.2%,0.2%,Wed,,
16/09/2015,14:15,GBP,red,,,,Wed,,
16/09/2015,15:00,USD,yellow,62,61,61,Wed,,
16/09/2015,15:30,USD,orange,-2.1M,0.7M,2.6M,Wed,,
16/09/2015,18:20,CAD,yellow,,,,Wed,,
16/09/2015,21:00,USD,yellow,7.7B,27.5B,103.1B,Wed,,
16/09/2015,23:45,NZD,red,0.4%,0.5%,0.2%,Wed,,
17/09/2015,00:50,JPY,orange,-0.36T,-0.35T,-0.38T,Thu,,
17/09/2015,02:30,AUD,yellow,,,,Thu,,
17/09/2015,06:45,CHF,yellow,,,,Thu,,
17/09/2015,07:35,JPY,red,,,,Thu,,
17/09/2015,08:30,CHF,red,-0.75%,-0.75%,-0.75%,Thu,,
17/09/2015,,CHF,red,,,,Thu,,
17/09/2015,09:00,EUR,yellow,,,,Thu,,
17/09/2015,09:02,EUR,yellow,8.03B,2.47B,2.81B,Thu,,
17/09/2015,09:30,GBP,red,0.2%,0.2%,0.0%,Thu,,
17/09/2015,09:51,EUR,yellow,2.15|2.5,,2.13|1.8,Thu,,
17/09/2015,13:30,USD,red,1.17M,1.15M,1.13M,Thu,,
17/09/2015,,USD,red,264K,276K,275K,Thu,,
17/09/2015,,USD,orange,-110B,-111B,-118B,Thu,,
17/09/2015,,USD,orange,1.13M,1.16M,1.16M,Thu,,
17/09/2015,15:00,USD,red,-6.0,6.1,8.3,Thu,,
17/09/2015,15:30,USD,yellow,73B,70B,68B,Thu,,
17/09/2015,19:00,USD,red,<0.25%,<0.25%,<0.25%,Thu,,
17/09/2015,,USD,red,,,,Thu,,
17/09/2015,,USD,red,,,,Thu,,
17/09/2015,19:30,USD,red,,,,Thu,,
18/09/2015,00:30,AUD,red,,,,Fri,,
18/09/2015,00:50,JPY,orange,,,,Fri,,
18/09/2015,09:00,EUR,yellow,22.6B,21.3B,24.9B,Fri,,
18/09/2015,12:05,GBP,orange,,,,Fri,,
18/09/2015,13:30,CAD,red,0.2%,0.2%,0.0%,Fri,,
18/09/2015,,CAD,orange,0.0%,0.0%,0.1%,Fri,,
18/09/2015,15:00,USD,yellow,0.1%,0.2%,-0.2%,Fri,,
19/09/2015,18:30,USD,orange,,,,Sat,,
20/09/2015,All Day,EUR,red,,,,Sun,,
20/09/2015,23:00,NZD,yellow,106.0,,113.0,Sun,,
20/09/2015,23:45,NZD,yellow,0.2%,,-2.7%,Sun,,
21/09/2015,00:01,GBP,yellow,0.9%,,-0.8%,Mon,,
21/09/2015,All Day,JPY,gray,,,,Mon,,
21/09/2015,04:00,NZD,yellow,10.5%,,9.8%,Mon,,
21/09/2015,07:00,EUR,yellow,-0.5%,-0.3%,0.0%,Mon,,
21/09/2015,11:00,EUR,yellow,,,,Mon,,
21/09/2015,13:30,CAD,orange,0.0%,0.3%,1.3%,Mon,,
21/09/2015,15:00,USD,orange,5.31M,5.50M,5.58M,Mon,,
21/09/2015,18:00,USD,orange,,,,Mon,,
21/09/2015,19:45,CAD,red,,,,Mon,,
22/09/2015,All Day,JPY,gray,,,,Tue,,
22/09/2015,02:30,AUD,orange,4.7%,2.5%,1.6%,Tue,,
22/09/2015,03:00,CNY,yellow,1.0%,,0.9%,Tue,,
22/09/2015,07:00,CHF,orange,2.87B,2.77B,3.58B,Tue,,
22/09/2015,09:30,GBP,orange,11.3B,8.7B,-0.1B,Tue,,
22/09/2015,11:00,GBP,yellow,-7,0,-1,Tue,,
22/09/2015,14:00,USD,yellow,0.6%,0.4%,0.2%,Tue,,
22/09/2015,14:59,USD,yellow,-5,4,0,Tue,,
22/09/2015,15:00,EUR,yellow,-7,-7,-7,Tue,,
22/09/2015,19:00,GBP,orange,,,,Tue,,
23/09/2015,00:00,USD,orange,,,,Wed,,
23/09/2015,01:00,AUD,yellow,0.3%,,-0.3%,Wed,,
23/09/2015,All Day,JPY,gray,,,,Wed,,
23/09/2015,02:45,CNY,red,47.0,47.6,47.3,Wed,,
23/09/2015,08:00,EUR,red,50.4,48.6,48.3,Wed,,
23/09/2015,,EUR,orange,51.2,51.1,50.6,Wed,,
23/09/2015,08:30,EUR,red,52.5,52.8,53.3,Wed,,
23/09/2015,,EUR,orange,54.3,54.5,54.9,Wed,,
23/09/2015,09:00,EUR,orange,52.0,52.2,52.3,Wed,,
23/09/2015,,EUR,orange,54.0,54.1,54.4,Wed,,
23/09/2015,13:30,CAD,red,0.0%,0.4%,0.5%,Wed,,
23/09/2015,,CAD,orange,0.5%,0.5%,0.4%,Wed,,
23/09/2015,14:00,CHF,yellow,,,,Wed,,
23/09/2015,,EUR,red,,,,Wed,,
23/09/2015,14:45,USD,yellow,53.0,53.3,53.0,Wed,,
23/09/2015,15:30,USD,orange,-1.9M,-1.0M,-2.1M,Wed,,
23/09/2015,17:00,GBP,orange,,,,Wed,,
23/09/2015,17:30,USD,orange,,,,Wed,,
23/09/2015,23:45,NZD,orange,-1035M,-875M,-726M,Wed,,
24/09/2015,02:35,JPY,yellow,50.9,51.3,51.7,Thu,,
24/09/2015,05:30,JPY,yellow,0.2%,0.1%,0.5%,Thu,,
24/09/2015,07:00,EUR,yellow,9.6,9.8,9.9,Thu,,
24/09/2015,09:00,EUR,red,108.5,107.8,108.4,Thu,,
24/09/2015,09:30,GBP,yellow,46.7K,46.3K,46.3K,Thu,,
24/09/2015,10:00,EUR,yellow,0.4%,0.2%,-0.4%,Thu,,
24/09/2015,10:31,EUR,red,15.5B,50.3B,73.8B,Thu,,
24/09/2015,13:30,USD,red,0.0%,0.2%,0.4%,Thu,,
24/09/2015,,USD,red,267K,268K,264K,Thu,,
24/09/2015,,USD,orange,-2.0%,-2.0%,2.2%,Thu,,
24/09/2015,14:00,EUR,yellow,-6.8,-4.7,-5.1,Thu,,
24/09/2015,15:00,USD,orange,552K,516K,522K,Thu,,
24/09/2015,15:30,USD,yellow,106B,95B,73B,Thu,,
24/09/2015,22:00,USD,red,,,,Thu,,
25/09/2015,00:30,JPY,orange,-0.2%,-0.2%,-0.1%,Fri,,
25/09/2015,,JPY,yellow,-0.1%,-0.1%,0.0%,Fri,,
25/09/2015,00:50,JPY,yellow,0.7%,0.5%,0.6%,Fri,,
25/09/2015,08:00,EUR,orange,,,,Fri,,
25/09/2015,09:00,EUR,orange,4.8%,5.4%,5.3%,Fri,,
25/09/2015,,EUR,yellow,1.0%,1.1%,0.9%,Fri,,
25/09/2015,09:30,GBP,yellow,,,,Fri,,
25/09/2015,13:30,USD,red,3.9%,3.7%,3.7%,Fri,,
25/09/2015,,USD,yellow,2.1%,2.1%,2.1%,Fri,,
25/09/2015,14:45,USD,yellow,55.6,55.5,56.1,Fri,,
25/09/2015,15:00,USD,orange,87.2,87.2,85.7,Fri,,
25/09/2015,,USD,yellow,2.8%,,2.9%,Fri,,
25/09/2015,17:30,EUR,orange,,,,Fri,,
26/09/2015,15:00,NZD,gray,,,,Sat,,
28/09/2015,08:00,GBP,orange,,,,Mon,,
28/09/2015,10:15,USD,orange,,,,Mon,,
28/09/2015,13:30,USD,red,,,,Mon,,
28/09/2015,,USD,orange,0.1%,0.1%,0.1%,Mon,,
28/09/2015,,USD,orange,0.4%,0.3%,0.4%,Mon,,
28/09/2015,,USD,yellow,0.3%,0.4%,0.5%,Mon,,
28/09/2015,15:00,USD,orange,-1.4%,0.4%,0.5%,Mon,,
28/09/2015,18:30,USD,orange,,,,Mon,,
28/09/2015,22:00,USD,orange,,,,Mon,,
29/09/2015,07:00,EUR,yellow,-1.5%,-1.4%,-0.7%,Tue,,
29/09/2015,All Day,EUR,orange,-0.2%,-0.1%,0.0%,Tue,,
29/09/2015,08:00,EUR,orange,-0.9%,-0.6%,-0.4%,Tue,,
29/09/2015,09:30,GBP,orange,4.3B,4.1B,4.0B,Tue,,
29/09/2015,,GBP,yellow,-0.4%,0.7%,1.0%,Tue,,
29/09/2015,,GBP,yellow,71K,70K,69K,Tue,,
29/09/2015,10:21,EUR,yellow,1.82|1.3,,1.95|1.4,Tue,,
29/09/2015,11:00,GBP,yellow,49,29,24,Tue,,
29/09/2015,13:30,CAD,orange,-6.6%,-7.3%,-6.0%,Tue,,
29/09/2015,,CAD,yellow,-0.3%,-0.8%,0.6%,Tue,,
29/09/2015,,USD,orange,-67.2B,-57.3B,-59.1B,Tue,,
29/09/2015,14:00,USD,yellow,5.0%,5.1%,4.9%,Tue,,
29/09/2015,15:00,USD,red,103.0,96.2,101.3,Tue,,
29/09/2015,20:15,GBP,red,,,,Tue,,
29/09/2015,22:45,NZD,yellow,-4.9%,,20.3%,Tue,,
30/09/2015,00:05,GBP,yellow,3,5,7,Wed,,
30/09/2015,00:50,JPY,orange,0.8%,1.2%,1.8%,Wed,,
30/09/2015,,JPY,yellow,-0.5%,1.1%,-0.8%,Wed,,
30/09/2015,01:00,NZD,red,-18.9,,-29.1,Wed,,
30/09/2015,02:30,AUD,red,-6.9%,-1.8%,7.9%,Wed,,
30/09/2015,,AUD,yellow,0.6%,0.5%,0.6%,Wed,,
30/09/2015,06:00,JPY,yellow,8.8%,7.8%,7.4%,Wed,,
30/09/2015,06:58,GBP,yellow,0.5%,0.4%,0.4%,Wed,,
30/09/2015,07:00,CHF,yellow,1.63,,1.59,Wed,,
30/09/2015,,EUR,orange,-0.4%,0.2%,1.6%,Wed,,
30/09/2015,Jul Data,EUR,yellow,0.3%,0.2%,0.4%,Wed,,
30/09/2015,07:45,EUR,yellow,0.0%,0.4%,0.3%,Wed,,
30/09/2015,08:00,CHF,orange,100.4,101.2,101.2,Wed,,
30/09/2015,08:55,EUR,orange,2K,-5K,-6K,Wed,,
30/09/2015,09:00,EUR,yellow,11.9%,12.0%,12.0%,Wed,,
30/09/2015,09:30,GBP,red,-16.8B,-22.2B,-24.0B,Wed,,
30/09/2015,,GBP,orange,0.7%,0.7%,0.7%,Wed,,
30/09/2015,,GBP,yellow,0.8%,0.8%,0.6%,Wed,,
30/09/2015,,GBP,yellow,1.6%,2.9%,2.9%,Wed,,
30/09/2015,10:00,EUR,orange,0.9%,0.9%,0.9%,Wed,,
30/09/2015,,EUR,orange,-0.1%,0.0%,0.1%,Wed,,
30/09/2015,,EUR,orange,11.0%,10.9%,11.0%,Wed,,
30/09/2015,,EUR,yellow,-0.3%,-0.2%,0.2%,Wed,,
30/09/2015,13:00,USD,orange,,,,Wed,,
30/09/2015,13:15,USD,red,200K,192K,186K,Wed,,
30/09/2015,13:30,CAD,red,0.3%,0.2%,0.4%,Wed,,
30/09/2015,14:45,USD,orange,48.7,53.2,54.4,Wed,,
30/09/2015,15:30,USD,orange,4.0M,-0.5M,-1.9M,Wed,,
30/09/2015,20:00,USD,red,,,,Wed,,
